"error_name","SurveyorID","Submission.Id","Orig.collection.date","Quad.Sub.Quad","StemTag","Species","QX","QY","DBH","Status.census.2","HOM","Status.2021","Crown.position","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Dead.with.resprout","Notes.2021"
"wounded_level_but_wrong_status_or_FAD","DJ","adbcfe06-d038-4740-b8c7-c1496407dccb","2021-07-13","0804-12",80385,"tsugca",8.74495,9.8378,44.3,"A",1.3,"AU",1,78,64,NA,0,"B,I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","adbcfe06-d038-4740-b8c7-c1496407dccb","2021-07-13","0804-22",80395,"tsugca",0.4904,4.4586,14.1,"A",1.3,"AU",1,63,45,NA,0,"B,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","7bf63f21-8d16-40ff-9751-cdb7905417db","2021-07-13","0805-12",80485,"acerru",0.86742,0.5444,15.5,"A",1.3,"AU",1,88,71,NA,0,"B,K",1,1,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","7bf63f21-8d16-40ff-9751-cdb7905417db","2021-07-13","0805-21",80501,"acerru",1.1522,9.39815,22.4,"A",1.3,"AU",2,100,100,NA,0,"R",1,NA,1,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","25cd8b37-4bb5-4c20-9d5b-4d4bff4bb449","2021-07-13","0806-22",80564,"betupa",8.1838,6.9523,20.7,"A",1.3,"AU",1,1,1,NA,0,"B",3,NA,NA,"False","Top broke.  May be yellow birch"
"wounded_level_but_wrong_status_or_FAD","DJ","421814fb-b6ea-4d01-b089-baddfc289244","2021-07-13","0807-11",80593,"tsugca",7.62684,7.80907,22.9,"A",1.3,"AU",1,74,67,NA,0,"B,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","d5514005-c027-4270-aafb-6c1a14a107ae","2021-07-13","0811-21",80910,"tsugca",9.2596,0.37429,23.5,"A",1.3,"DS",2,89,0,NA,0,"B,I,DF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","a9833cef-342a-42e8-912e-e741179a1454","2021-07-14","0818-22",81355,"acerru",7.8749,1.0134,12.1,"A",1.35,"AU",1,75,70,NA,NA,"B,R",3,NA,3,"False","Top broke at 2:5 m but alive still"
"wounded_level_but_wrong_status_or_FAD","DJ","739a46f7-8b0a-4b06-8437-7f3a9f2e3b0f","2021-07-14","0819-21",81464,"tsugca",0.8061,8.04681,12.8,"A",1.3,"AU",1,40,25,NA,NA,"B,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","e4fd76dc-2a4b-4b26-90c2-56c001dcf00d","2021-07-14","0821-21",81606,"tsugca",7.5968,2.2314,79.1,"A",1.3,"AU",3,20,15,NA,NA,"B,I,LF",3,NA,NA,"False","Top broke out"
"wounded_level_but_wrong_status_or_FAD","DJ","e944460f-15c8-4a99-b226-1f9a4137f693","2021-07-14","0824-11",81776,"acerru",1.40683,0.33623,31.7,"A",1.3,"AU",3,100,100,NA,NA,"R,F",1,NA,2,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","9d370fcb-b9dc-4c56-a06b-b3f469cb2d26","2021-07-13","0923-22",91572,"acerru",1.9475,7.2547,32.9,"A",1.3,"DC",3,NA,NA,NA,0,"B,F,HS",3,NA,NA,"True",NA
"wounded_level_but_wrong_status_or_FAD","NM","8a211503-b0fe-4ba5-aff9-82b5dfc075bf","2021-07-13","0924-12",91660,"tsugca",9.639,6.0362,25.9,"A",1.3,"DS",2,82,0,NA,0,"B,DF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","RB","7f1f2c46-e42f-449a-9f4e-77040e38710e","2021-07-14","1021-11",101605,"querru",8.24086,5.04062,65.8,"A",1.3,"AU",4,98,94,NA,0,"R,K",1,1,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","4cf16645-5642-4cec-a701-f7852d39e20c","2021-07-15","0905-12",90433,"acerru",0.47071,0.139,19.1,"A",1.3,"DC",1,NA,NA,NA,0,"B,F",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","dbbdaae6-67ea-441a-ac36-8433c91d0731","2021-07-15","0906-21",90569,"acerru",6.6822,7.46847,11.4,"A",1.3,"AU",1,70,65,NA,0,"B",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","8f043dc3-6ad6-485b-b226-2ac33dcb77c4","2021-07-15","0910-12",90750,"tsugca",7.56866,9.784,16.3,"A",1.3,"DS",3,60,0,NA,0,"CR,B",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","f92ab52e-a70f-493f-a37b-17f917ef3a92","2021-07-14","0911-21",90845,"betule",9.2148,7.47988,10.6,"A",1.3,"AU",1,50,50,NA,0,"B,LF,OT",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","1f441dad-be39-41d9-8a97-c451989eb4dc","2021-07-15","1102-22",110124,"prunse",0.3667,9.6714,11.8,"A",1.3,"AU",3,50,50,NA,NA,"B",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","098b7794-b13e-4c48-9537-d7e0054fdd05","2021-07-15","1105-22",110401,"tsugca",0.4236,3.1625,13.8,"A",1.3,"AU",1,50,10,NA,NA,"B,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","098b7794-b13e-4c48-9537-d7e0054fdd05","2021-07-15","1105-22",110403,"acerru",1.1968,2.0141,13.6,"A",1.3,"AU",3,15,15,NA,NA,"B",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","5d9d71bb-70df-4ec8-8dc5-f5d61cb2f08d","2021-07-15","1115-12",111085,"tsugca",3.17715,9.6408,14.5,"A",1.3,"DS",1,0,0,NA,NA,"B,I,LF",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","794a8270-8ecd-49fe-bc55-5d68e67cd9d5","2021-07-15","1202-12",120090,"prunse",2.08298,9.4684,19.4,"A",1.3,"DS",1,14,0,NA,NA,"B,U",2,NA,NA,"True",NA
"dead_but_crown_living_not_zero","DJ","4fb27631-5957-466b-9d79-6edd432ada34","2021-07-15","1203-21",120189,"piceab",2.3943,1.46279,NA,"D",1.3,"DS",1,100,100,NA,NA,NA,NA,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","f05c821b-b36b-4ae7-8230-c80d0bbd9e35","2021-07-15","1205-21",120326,"acerru",5.5053,2.50727,10.3,"A",1.3,"AU",1,5,0,NA,NA,"B,OT",2,NA,NA,"False","Epicormics"
"wounded_level_but_wrong_status_or_FAD","DJ","f05c821b-b36b-4ae7-8230-c80d0bbd9e35","2021-07-15","1205-22",120303,"acerru",8.8762,2.2108,13.8,"A",1.3,"DS",1,0,0,NA,NA,"B,R,F",3,NA,3,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","3cb17790-ec48-4ed9-9f69-5fd92443814e","2021-07-15","1207-21",120477,"acerru",3.0987,2.13366,14.2,"A",1.3,"AU",1,80,80,NA,NA,"B",2,NA,NA,"False","Broken top"
"dead_but_crown_living_not_zero","DJ","08b57718-e1ba-4377-8497-d133f7add1e9","2021-07-15","1208-11",120481,"pinust",1.83392,6.92039,NA,"D",1.3,"DS",1,0,10,0,NA,NA,NA,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","08b57718-e1ba-4377-8497-d133f7add1e9","2021-07-15","1208-11",120483,"tsugca",2.53012,8.60145,13.8,"A",1.33,"AU",1,50,38,NA,NA,"I,LF,B",3,NA,NA,"False","Top broke"
"wounded_level_but_wrong_status_or_FAD","DJ","3f1b9b01-eca4-44b8-9621-809103834c67","2021-07-15","1209-21",120617,"tsugca",9.332,0.42891,24.5,"A",1.3,"AU",1,45,28,NA,NA,"I,LF,B",3,NA,NA,"False","Top broke"
"wounded_level_but_wrong_status_or_FAD","DJ","3f1b9b01-eca4-44b8-9621-809103834c67","2021-07-15","1209-22",120588,"acerru",5.4747,5.62,12.3,"A",1.3,"DS",1,0,0,NA,NA,"CR,B",3,NA,NA,"False",NA
"dead_but_crown_living_not_zero","DJ","5c7f11e5-38ef-42f7-8f1d-cee0f19c8a8c","2021-07-15","1212-22",120807,"pinust",3.3683,3.4778,NA,"D",1.3,"DS",1,100,100,NA,NA,NA,NA,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","LM","4a7d64cf-23c3-4292-b16c-eaf84eebf270","2021-07-14","0707-12",70599,"tsugca",9.8654,8.3939,26,"A",1.3,"AU",3,90,90,17,NA,"I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","53b3d2fb-e1fd-4ab6-b5f9-6f5d8d7cf3e3","2021-07-16","1120-11",111421,"tsugca",7.56864,5.52205,15.5,"A",1.3,"AU",1,25,20,NA,NA,"B,I,LF",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","747bd8c2-3f8f-4d64-9b8d-18ef99a3b9d0","2021-07-16","1121-11",111476,"acerru",2.89625,9.07867,12.2,"A",1.3,"AU",2,100,100,NA,NA,"R,K",1,NA,1,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","747bd8c2-3f8f-4d64-9b8d-18ef99a3b9d0","2021-07-16","1121-12",111495,"querru",0.20578,0.1828,26.5,"A",1.3,"AU",3,85,85,NA,NA,"B",2,NA,NA,"False","Large branch broken"
"wounded_level_but_wrong_status_or_FAD","KN","747bd8c2-3f8f-4d64-9b8d-18ef99a3b9d0","2021-07-16","1121-12",111509,"acerru",8.82268,9.2627,27.4,"A",1.3,"AU",3,100,100,NA,NA,"AN",1,NA,NA,"False","It ate a wire"
"wounded_level_but_wrong_status_or_FAD","KN","1222fad6-a65a-4528-a733-e69fd54f2e79","2021-07-16","1122-22",111667,"betual",7.2129,4.0561,13.8,"A",1.3,"AU",2,0,0,NA,NA,"B",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","e4a1cc92-9b42-4e91-b00b-a8b9b34e955c","2021-07-16","1125-11",111906,"tsugca",6.52139,8.2177,58,"A",1.3,"AU",4,80,60,NA,NA,"B,I,LF",3,NA,NA,"False","Split top half broke off"
"dead_but_crown_living_not_zero","DJ","ea9e77a3-e2ba-4bd6-8a88-d305906d091e","2021-07-16","1219-11",121247,"querru",5.16535,2.84284,NA,"D",1.3,"DS",1,100,100,NA,NA,NA,NA,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","45587ae3-d8e1-4211-9735-19ee3d53a106","2021-07-16","1222-22",121492,"tsugca",7.1474,2.3443,14.5,"A",1.3,"AU",1,27,13,NA,NA,"B,R,I,LF",2,NA,2,"False",NA
"dead_but_crown_living_not_zero","LM","e090a37f-fc50-48a5-9fc0-2754a770d444","2021-07-16","1302-12",130080,"acerru",9.59984,7.9923,12.2,"A",1.3,"DS",2,95,94,NA,NA,"LF,U",NA,NA,NA,"False","Stressed- abnormal shoots and leaf rust"
"dead_but_crown_living_not_zero","LM","0143011f-6e0b-4f69-8b9b-8a767f2a5f5d","2021-07-16","1304-22",130208,"querru",0.188,7.2933,30.1,"A",1.3,"DS",2,90,5,22,NA,"R,DF,W,CR",2,NA,3,"False","Barely alive"
